model,accuracy,precision,recall,f1,FPR,Detection Rate,total_wrong,hard_violations,soft_violations,hard_rate,soft_rate,temporal_score
darpa_one_net_scratch_up_w10,0.999205198005047,0.9788562263189734,0.9878717634831452,0.9824488848376869,4.784688995215311e-05,0.9986746865123866,40,0,0,0.0,0.0,0.9824488848376869
darpa_neg_scratch_up_w10,0.999205198005047,0.9788562263189734,0.9878717634831452,0.9824488848376869,4.784688995215311e-05,0.9986746865123866,40,0,0,0.0,0.0,0.9824488848376869
darpa_one_net_scratch_original_w10,0.999205198005047,0.9788562263189734,0.9878717634831452,0.9824488848376869,4.784688995215311e-05,0.9986746865123866,40,0,0,0.0,0.0,0.9824488848376869
darpa_one_net_scratch_down_w10,0.999205198005047,0.9788562263189734,0.9878717634831452,0.9824488848376869,4.784688995215311e-05,0.9986746865123866,40,0,0,0.0,0.0,0.9824488848376869
darpa_scratch_up_w10,0.9991853279551731,0.9788482815161501,0.9670384301498118,0.9713337940109542,4.784688995215311e-05,0.9986407041152683,41,0,0,0.0,0.0,0.9713337940109542
darpa_neg_pretrained_down_w10,0.9991654579052993,0.999665743481998,0.9455516956367614,0.9699209626422767,0.0,0.9985727393210317,42,0,0,0.0,0.0,0.9699209626422767
darpa_pretrained_down_w10,0.9991654579052993,0.999665743481998,0.9455516956367614,0.9699209626422767,0.0,0.9985727393210317,42,0,0,0.0,0.0,0.9699209626422767
darpa_neg_pretrained_original_w10,0.9991654579052993,0.999665743481998,0.9455516956367614,0.9699209626422767,0.0,0.9985727393210317,42,0,0,0.0,0.0,0.9699209626422767
darpa_one_net_scratch_original_w100,0.9991648605118212,0.9621810512550634,0.9759589995774243,0.9670210260325237,9.585889570552147e-05,0.9986407041152683,42,0,0,0.0,0.0,0.9670210260325237
darpa_one_net_scratch_down_w100,0.9991648605118212,0.9621810512550634,0.9759589995774243,0.9670210260325237,9.585889570552147e-05,0.9986407041152683,42,0,0,0.0,0.0,0.9670210260325237
